2026-08-18 15:09:57 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199275, Requested 5583. Please try again in 34m58.656s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:57 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_3b73549f07; falling back to heuristics.
2026-08-18 15:09:57 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:57 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:57 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199274, Requested 5904. Please try again in 37m16.896s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:57 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_2720fe2b4c; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199274, Requested 5971. Please try again in 37m45.839999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_36f14d3d83; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199273, Requested 5187. Please try again in 32m6.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_b6eeec6a0e; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199273, Requested 5313. Please try again in 33m1.151999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_dd7dba1318; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199273, Requested 5703. Please try again in 35m49.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_798fee83dd; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199272, Requested 5675. Please try again in 35m37.103999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_14fb611d18; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199272, Requested 5431. Please try again in 33m51.696s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_7ca0fe476c; falling back to heuristics.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:58 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199272, Requested 5677. Please try again in 35m37.967999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:58 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_1f82eb34d6; falling back to heuristics.
2026-08-18 15:09:59 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:59 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:59 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199271, Requested 5523. Please try again in 34m31.008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:09:59 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_fc8f70b197; falling back to heuristics.
2026-08-18 15:09:59 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:09:59 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
